<<Command>> <<19:371-378>> <<type>> <<CLASS>> <<ANCHOR>>
<<help>> <<23:450-454>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<option_list>> <<24:495-506>> <<tuple>> <<ATTRIBUTE>> <<ANCHOR>>
<<requires_model_validation>> <<42:1225-1250>> <<bool>> <<ATTRIBUTE>> <<ANCHOR>>
<<handle>> <<44:1270-1276>> <<function>> <<METHOD>> <<ANCHOR>>
<<makeconf>> <<59:1851-1859>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<59:1860-1864>> <<Command>> <<PARAMETER>> <<ANCHOR>>
<<ralph_dir>> <<59:1866-1875>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<force>> <<59:1877-1882>> <<bool>> <<PARAMETER>> <<ANCHOR>>
<<ralph_dir>> <<60:1900-1909>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<orig_settings_path>> <<73:2420-2438>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<new_settings_path>> <<75:2555-2572>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<orig_settings>> <<83:2956-2969>> <<file>> <<VARIABLE>> <<ANCHOR>>
<<settings>> <<84:3021-3029>> <<file>> <<VARIABLE>> <<ANCHOR>>
<<do_write>> <<85:3048-3056>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<line>> <<86:3086-3090>> <<str>> <<SCOPE>> <<ANCHOR>>
<<do_write>> <<92:3382-3390>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<44:1277-1281>> <<Command>> <<PARAMETER>> <<ANCHOR>>
<<args>> <<44:1284-1288>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<path>> <<49:1463-1467>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<ralph_dir>> <<60:1931-1940>> <<?>> <<VARIABLE>> <<LINK>>
<<ralph_dir>> <<61:1973-1982>> <<str>> <<VARIABLE>> <<LINK>>
<<stderr>> <<65:2107-2113>> <<file>> <<VARIABLE>> <<LINK>>
<<ralph_dir>> <<67:2254-2263>> <<str>> <<VARIABLE>> <<LINK>>
<<stderr>> <<69:2305-2311>> <<file>> <<VARIABLE>> <<LINK>>
<<ralph_dir>> <<63:2029-2038>> <<str>> <<VARIABLE>> <<LINK>>
<<ralph_dir>> <<72:2386-2395>> <<str>> <<VARIABLE>> <<LINK>>
<<ralph_dir>> <<75:2588-2597>> <<str>> <<VARIABLE>> <<LINK>>
<<force>> <<76:2628-2633>> <<bool>> <<VARIABLE>> <<LINK>>
<<new_settings_path>> <<76:2653-2670>> <<str>> <<VARIABLE>> <<LINK>>
<<stderr>> <<77:2690-2696>> <<file>> <<VARIABLE>> <<LINK>>
<<new_settings_path>> <<79:2823-2840>> <<str>> <<VARIABLE>> <<LINK>>
<<stderr>> <<81:2874-2880>> <<file>> <<VARIABLE>> <<LINK>>
<<orig_settings_path>> <<83:2933-2951>> <<str>> <<VARIABLE>> <<LINK>>
<<new_settings_path>> <<84:2994-3011>> <<str>> <<VARIABLE>> <<LINK>>
<<orig_settings>> <<86:3094-3107>> <<file>> <<VARIABLE>> <<LINK>>
<<do_write>> <<87:3145-3153>> <<bool>> <<VARIABLE>> <<LINK>>
<<line>> <<88:3183-3187>> <<str>> <<VARIABLE>> <<LINK>>
<<settings>> <<90:3277-3285>> <<file>> <<VARIABLE>> <<LINK>>
<<line>> <<90:3292-3296>> <<str>> <<VARIABLE>> <<LINK>>
<<line>> <<91:3324-3328>> <<str>> <<VARIABLE>> <<LINK>>
<<new_settings_path>> <<93:3416-3433>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<46:1353-1357>> <<Command>> <<VARIABLE>> <<LINK>>
<<makeconf>> <<46:1358-1366>> <<function>> <<VARIABLE>> <<LINK>>
<<stderr>> <<51:1531-1537>> <<file>> <<VARIABLE>> <<LINK>>
<<stderr>> <<53:1655-1661>> <<file>> <<VARIABLE>> <<LINK>>
<<args>> <<49:1470-1474>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<56:1742-1746>> <<Command>> <<VARIABLE>> <<LINK>>
<<makeconf>> <<56:1747-1755>> <<function>> <<VARIABLE>> <<LINK>>
<<path>> <<56:1756-1760>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<57:1796-1800>> <<Command>> <<VARIABLE>> <<LINK>>
<<makeconf>> <<57:1801-1809>> <<function>> <<VARIABLE>> <<LINK>>
