commit,author,date,title,faultID,file
bd318c8,Paulo Almeida,2015-01-31 12:36:50,split global secondary indexes online suppot in smaller methods as discussed on PR #2925,2925,tests/integration/dynamodb2/test_highlevel.py
54714ff,Daniel G. Taylor,2015-01-22 16:15:45,Merge pull request #2906 from clifflu/patch-1,2906
492813b,Daniel G. Taylor,2014-08-25 15:06:56,Fix binary input handling regression in Kinesis,2543,boto/kinesis/layer1.py
492813b,Daniel G. Taylor,2014-08-25 15:06:56,Fix binary input handling regression in Kinesis,2543,tests/unit/kinesis/__init__.py
492813b,Daniel G. Taylor,2014-08-25 15:06:56,Fix binary input handling regression in Kinesis,2543,tests/unit/kinesis/test_kinesis.py
873e89c,Daniel G. Taylor,2015-01-12 15:50:51,Merge pull request #2843 from cosmopetrich/cf_use_previous_template,2843
71d677f,Daniel G. Taylor,2015-01-12 15:45:18,Merge pull request #2842 from quentindemetz/patch-1,2842
716fd56,Quentin de Metz,2014-12-28 18:26:13,DynamoDB2.table.Table: Use of `connection` kwargs,1585
1bca150,Paulo Almeida,2014-12-23 18:26:32,#2828  #2708 - consolidating the _introspect_global_indexes and _introspect_indexes to only one method to avoid redundancy,2828,boto/dynamodb2/table.py
c4defb4,Daniel G. Taylor,2014-12-23 11:57:56,Merge pull request #2822 from micahhausler/bugfix/cloudformation_set_stack_policy,2822
5dfeba9,Daniel G. Taylor,2014-12-22 15:18:10,Merge pull request #2821 from micahhausler/documentation/elb,2821
8426148,Daniel G. Taylor,2014-12-22 14:30:58,Merge pull request #2817 from bhagany/patch-1,2817
f4972a1,Paulo Almeida,2014-12-19 23:02:39,#2828 - Adding  _introspect_global_indexes method to deal with global indexes,2828,boto/dynamodb2/table.py
241de20,Paulo Almeida,2014-12-19 22:55:15,#2828 - Adding  unittest as described on contributing guidelines,2828,tests/integration/dynamodb2/test_highlevel.py
2fc6065,Paulo Almeida,2014-12-19 22:44:07,#2828 - Adding  unittest as described on contributing guidelines,2828,tests/integration/dynamodb2/test_highlevel.py
cc4d42d,Daniel G. Taylor,2014-12-18 15:01:35,Merge pull request #2810 from monkeysecurity/develop,2810
a193bc0,Daniel G. Taylor,2014-12-18 14:08:15,Merge pull request #2809 from serviceagility/develop,2809
2936ac0,Daniel G. Taylor,2014-12-18 13:37:36,Merge pull request #2807 from dennisatplumbee/develop,2807
66b3604,Daniel G. Taylor,2014-12-18 13:33:35,Merge pull request #2803 from sblosser/patch-1,2803
230cf17,Stan Blosser,2014-12-18 15:15:51,Adding unit test for boto/boto#2803,2803,tests/integration/s3/test_key.py
90a5d44,Daniel G. Taylor,2014-12-17 16:07:42,Merge pull request #2806 from zvickery/develop,2806
01b5246,micahhausler,2014-12-17 17:34:55,Return SetStackPolicyResponse - Fixes #2346 #2639,2346,boto/cloudformation/connection.py
0dc8412,Daniel G. Taylor,2014-12-17 13:59:06,Merge pull request #2802 from MisaKondo/update-launchconfig-docs,2802
f1a5ebd,Daniel G. Taylor,2014-12-17 13:57:35,Merge pull request #2801 from Captainkrtek/fix_2572,2801
2e7829b,Daniel G. Taylor,2014-12-17 13:38:12,Merge pull request #2785 from djcross/privatezone,2785
55ed184,Daniel G. Taylor,2014-12-17 13:35:52,Merge pull request #2752 from catlee/storage_class,2752
1af31f2,Daniel G. Taylor,2014-12-17 13:29:06,Merge pull request #2736 from Captainkrtek/Fix_S3Put_host,2736
0612292,MisaKondo,2014-12-08 18:27:51,update documentation for launchconfig,2802,boto/ec2/autoscale/launchconfig.py
73dc86b,captainkrtek,2014-12-07 14:59:43,remove unimplemented config param. - #2572,2572,boto/route53/hostedzone.py
c314298,Daniel G. Taylor,2014-12-05 16:21:04,Merge pull request #2726 from twirrim/develop,2726
58f76f6,Daniel G. Taylor,2014-12-05 16:12:13,Merge pull request #2735 from youngrok/develop,2735
6a853be,Daniel G. Taylor,2014-12-02 16:54:17,Merge pull request #2753 from catlee/docs,2753
1ddf6df,Daniel G. Taylor,2014-12-02 16:53:28,Merge pull request #2728 from ntrepid8/route53_docstring_update,2728
419d8a5,Daniel G. Taylor,2014-12-02 16:28:35,Merge pull request #2676 from lapointexavier/feature/issue-2573-bugfix-incomplete-count,2573
9be3f85,Daniel G. Taylor,2014-12-02 14:23:30,Merge pull request #2755 from pochmann/patch-1,2755
1d5368a,Daniel G. Taylor,2014-12-02 14:19:01,Merge pull request #2766 from alexzhangs/develop,2766
ee14911,Daniel G. Taylor,2014-12-02 14:13:23,Merge branch 'zihaoyu-route53_checker_ip_ranges' into develop,2792
478f66a,Daniel G. Taylor,2014-12-02 14:02:19,Merge pull request #2783 from kotik/develop,2783
2c1f8d5,Daniel G. Taylor,2014-12-02 13:53:58,Merge pull request #2791 from frankamp/patch-2,2791
28814d8,Daniel G. Taylor,2014-12-02 13:47:47,Merge pull request #2793 from wonderb0lt/reservedinstances-enddate,2793
6771d04,Daniel G. Taylor,2014-11-21 14:30:41,Merge pull request #2775 from boto/emr-supported-products,2775
9752747,DJ Sharkey,2014-11-21 14:44:11,fix: snap.create_volume documentation lists general purpose ssd,2774,boto/ec2/snapshot.py
8329e02,Daniel G. Taylor,2014-11-20 15:16:17,Merge pull request #2750 from boto/emr-fix,2750
f5be409,Daniel G. Taylor,2014-11-20 15:09:01,Merge pull request #2773 from danielgtaylor/sigv4-detect,2773
859f03a,captainkrtek,2014-11-04 19:58:33,fix for s3put host specification - issue #2522,2736,boto/s3/__init__.py
5b093d6,Pak Youngrok,2014-11-05 12:07:48,fix raising exception syntax in python 3,2735,boto/connection.py
5b093d6,Pak Youngrok,2014-11-05 12:07:48,fix raising exception syntax in python 3,2735,tests/unit/test_connection.py
c6108b2,Josh Austin,2014-11-02 18:59:52,correct argument type in doc string,2728,boto/route53/record.py
d46dc27,Xavier Lapointe,2014-10-17 11:27:19,issue2573 Fixing line length based on PR feedback,2573,tests/unit/dynamodb2/test_table.py
9bfff19,Daniel G. Taylor,2014-10-16 11:50:05,Merge pull request #2429 from chocobn69/2428,2428
075d402,Daniel G. Taylor,2014-10-16 11:13:52,Merge pull request #2675 from mtougeron/feature-iam-create-virtual-mfa-device,2675
38abbd9,Daniel G. Taylor,2014-10-16 10:59:05,Merge pull request #2673 from felixonmars/more-tidy,2673
30f9c06,Daniel G. Taylor,2014-10-16 10:47:43,Merge pull request #2683 from JLansey/fix_minor_docs_typo,2683
5db2ea8,Daniel G. Taylor,2014-10-16 10:46:36,Merge pull request #2685 from djhworld/develop,2685
96fb5a1,Xavier Lapointe,2014-10-14 15:04:08,issue2573 Bugfix for boto.dynamodb2.table.Table#query_count where a Count query would be erroneous,2573,boto/dynamodb2/table.py
96fb5a1,Xavier Lapointe,2014-10-14 15:04:08,issue2573 Bugfix for boto.dynamodb2.table.Table#query_count where a Count query would be erroneous,2573,tests/unit/dynamodb2/test_table.py
bce8fcf,Daniel G. Taylor,2014-10-07 16:14:17,Merge pull request #2610 from EaterOA/develop,2269
44d873d,Daniel G. Taylor,2014-09-22 12:41:44,Merge pull request #2611 from felixonmars/common-tidy,2611
bbe8ce7,Daniel G. Taylor,2014-09-22 11:29:46,Merge pull request #2598 from DreadPirateShawn/issue2597,2598
fb4aeec,Daniel G. Taylor,2014-09-22 10:46:00,Merge branch 'nishigori-b64encode-launch-config-user-data' into develop,2591
1de6b41,Daniel G. Taylor,2014-09-22 10:23:47,Merge pull request #2588 from PeterDaveHello/patch-1,2588
abd3298,Daniel Huang,2014-09-13 22:02:36,fix typo in s3 tutorial,2612
ab464f9,Vincent Wong,2014-09-13 12:14:26,Added method TaggedEC2Object.remove_tags(),2259,boto/ec2/ec2object.py
7a39741,Daniel G. Taylor,2014-09-02 16:13:09,Merge pull request #2587 from jcrobak/block-device-mapping-ebs-encrypted,2587
8525616,Daniel G. Taylor,2014-09-02 15:54:43,Merge pull request #2585 from felixonmars/auth-typo,2585
02b836c,Daniel G. Taylor,2014-09-02 15:11:07,Merge pull request #2567 from felixonmars/update-cacerts,2567
3a3e960,Daniel G. Taylor,2014-09-02 11:13:44,Merge pull request #2571 from felixonmars/route53-tidy,2571
e926d2d,Daniel G. Taylor,2014-09-02 11:01:24,Merge pull request #2569 from hvpareja/patch-1,2569
3c83da9,Daniel G. Taylor,2014-09-02 10:56:05,Merge pull request #2566 from felixonmars/iam-tidy,2566
c017b02,Daniel G. Taylor,2014-09-02 10:51:14,Merge pull request #2548 from cshanes/patch-1,2548
39cbcb5,Daniel G. Taylor,2014-09-02 10:50:02,Merge pull request #2562 from kouk/bucketlisturlencoding,2562
c1dd1fb,Daniel G. Taylor,2014-09-02 10:45:52,Merge pull request #2560 from damz/pr/global-timeout,2560
069d04b,Daniel G. Taylor,2014-09-02 10:34:59,Merge pull request #2559 from kouk/nonasciiqueryargs,2558
3ba380f,Daniel G. Taylor,2014-09-02 10:26:59,Merge pull request #2542 from cloudregistry/r53_list_rrsets_paging_fix,2542
bb26b2d,Felix Yan,2014-08-27 15:51:00,update boto/cacerts/cacerts.txt,2567
ac2b311,Daniel G. Taylor,2014-08-26 10:43:18,Merge pull request #2547 from danielgtaylor/opsworks-update,2547
8198884,Daniel G. Taylor,2014-08-26 10:12:38,Merge pull request #2525 from danielgtaylor/s3-repr,2525
31fbd86,Konstantinos Koukopoulos,2014-08-26 17:32:14,fix comparison of query value for py3. Refs: #2558,2558,boto/s3/bucket.py
375054d,Chris  Hanes,2014-08-26 10:31:30,Adding unit test for pull request #2548,2548,tests/unit/vpc/test_networkacl.py
45bf3d0,Konstantinos Koukopoulos,2014-08-26 15:23:51,support non-ascii unicode strings in _get_all_query_args. Fixes: #2558,2558,boto/s3/bucket.py
45bf3d0,Konstantinos Koukopoulos,2014-08-26 15:23:51,support non-ascii unicode strings in _get_all_query_args. Fixes: #2558,2558,tests/unit/s3/test_bucket.py
0e76262,Wil Tan,2014-08-26 13:51:20,paged get_all_rrsets test case (refs #2542),2542,tests/unit/route53/test_connection.py
2b87583,Daniel G. Taylor,2014-08-25 10:10:24,Merge pull request #2554 from kz9676/skip-unsupported-locale-unittest,2554
3837951,Daniel G. Taylor,2014-08-25 10:05:56,Merge pull request #2459 from behanceops/develop,2459
7f907b7,Daniel G. Taylor,2014-08-25 10:01:21,Merge pull request #2550 from gholms/test-endpoints,2550
964999e,Daniel G. Taylor,2014-08-22 11:14:00,Merge pull request #2537 from gfemec/et_params_support,2537
9b9c1c4,Daniel G. Taylor,2014-08-22 10:52:19,Merge pull request #2544 from saebyn/patch-1,2544
885348d,Daniel G. Taylor,2014-08-22 10:51:24,Merge pull request #2521 from danielgtaylor/header-bytes,2521
bd0d6db,Daniel G. Taylor,2014-08-22 10:08:09,Merge pull request #2539 from felixonmars/elasticache-tidy,2539
c620c43,Daniel G. Taylor,2014-08-22 10:07:22,Merge pull request #2538 from felixonmars/ses-tidy,2538
9efebc2,Daniel G. Taylor,2014-08-22 09:58:53,Merge pull request #2546 from danielgtaylor/cloudsearch-update,2546
9151092,Daniel G. Taylor,2014-08-22 09:58:12,Merge pull request #2545 from danielgtaylor/redshift-update,2545
8cf1b52,Daniel G. Taylor,2014-08-21 13:43:08,Merge pull request #2541 from danielgtaylor/support-update,2541
38478c1,Daniel G. Taylor,2014-08-20 12:30:42,Merge pull request #2535 from francescomalandrino/develop,2535
7b67f98,Daniel G. Taylor,2014-08-20 12:28:08,Merge pull request #2533 from avanash/develop,2533
c8c625a,Daniel G. Taylor,2014-08-19 13:42:34,Merge pull request #2477 from opottone/develop,2477
2f0e689,Daniel G. Taylor,2014-08-19 10:16:49,Merge pull request #2530 from nishigori/fix-doc-code,2530
b161f61,Daniel G. Taylor,2014-08-13 15:37:23,Support auth when headers contains bytes,2520,boto/auth.py
b161f61,Daniel G. Taylor,2014-08-13 15:37:23,Support auth when headers contains bytes,2520,tests/unit/auth/test_sigv4.py
3cbbc21,Daniel G. Taylor,2014-08-13 14:15:56,Merge pull request #2513 from N3TWORK/cloudsearch2-proxy,2513
1f35224,Daniel G. Taylor,2014-08-12 11:17:46,Merge pull request #2515 from lra/iamer_built_with_boto,2515
a2e4b48,Daniel G. Taylor,2014-08-12 10:56:43,Merge pull request #2420 from N3TWORK/2.31.1-cloudsearch2-options,2420
75519b5,Daniel G. Taylor,2014-08-07 12:28:03,Merge pull request #2463 from truveris/develop,2463
e91134e,Daniel G. Taylor,2014-08-07 12:26:02,Merge pull request #2505 from CashStar/eip_eni_associate,2505
d9cf2f7,Daniel G. Taylor,2014-08-07 09:33:01,Merge pull request #2422 from Mavus/iam-credential-reports,2422
e74f74e,Daniel G. Taylor,2014-08-06 10:02:30,Merge branch 'CashStar-develop' into develop,2487
5120a3c,nevins-b,2014-08-06 12:58:35,allowing address to use network_interface_id,2505,boto/ec2/address.py
5120a3c,nevins-b,2014-08-06 12:58:35,allowing address to use network_interface_id,2505,tests/unit/ec2/test_address.py
167992c,Daniel G. Taylor,2014-08-06 09:54:19,Merge pull request #2470 from felixonmars/ec2-tidy,2470
470336f,Daniel G. Taylor,2014-08-06 09:45:21,Merge pull request #2501 from DreadPirateShawn/VPCPeeringConnectionRoutes,2501
cb78c52,Daniel G. Taylor,2014-08-04 15:31:06,Merge pull request #2502 from danielgtaylor/py3-bin,2502
2ffb00a,Daniel G. Taylor,2014-08-04 13:55:29,Merge pull request #2456 from danielgtaylor/emr-fix,2456
e872d94,Daniel G. Taylor,2014-08-04 13:55:07,Merge pull request #2478 from danielgtaylor/universal-wheel,2478
16c6fbe,Daniel G. Taylor,2014-08-04 13:54:52,Merge pull request #2458 from danielgtaylor/tox-pypy,2458
a9463c5,Daniel G. Taylor,2014-08-04 13:54:22,Merge pull request #2489 from danielgtaylor/glacier-hash-fix,2489
0575a54,Daniel G. Taylor,2014-08-04 12:59:32,Merge pull request #2469 from felixonmars/glacier-tidy,2469
f580f73,Daniel G. Taylor,2014-08-04 12:46:10,Merge pull request #2498 from piotrbulinski/ConfigParser_py3,2497
e59e199,Daniel G. Taylor,2014-08-04 12:40:23,Merge pull request #2496 from nicorevin/redundunt_imports,2496
16284ea,Daniel G. Taylor,2014-08-04 12:30:09,Merge pull request #2492 from alexkonradi/bugfix-binary-non-ascii,2492
33db71a,Daniel G. Taylor,2014-08-04 12:26:15,Merge branch 'kz9676-fix-missing-mock-requirement' into develop.,2494
9f34bfd,Piotr Bulinski,2014-08-04 10:02:45,Use ConfigParser for Python 3 and SafeConfigParser for Python 2 (#2497),2497,boto/compat.py
9f34bfd,Piotr Bulinski,2014-08-04 10:02:45,Use ConfigParser for Python 3 and SafeConfigParser for Python 2 (#2497),2497,boto/pyami/config.py
9f34bfd,Piotr Bulinski,2014-08-04 10:02:45,Use ConfigParser for Python 3 and SafeConfigParser for Python 2 (#2497),2497,boto/pyami/installers/ubuntu/mysql.py
6ff525e,Daniel G. Taylor,2014-08-01 14:33:47,Merge pull request #2486 from piotrbulinski/LazyLoadMetadata_py3,2485
e2b8f02,Daniel G. Taylor,2014-08-01 14:23:03,Fix Glacier fileobj hash calculation.,2488,boto/glacier/utils.py
e2b8f02,Daniel G. Taylor,2014-08-01 14:23:03,Fix Glacier fileobj hash calculation.,2488,tests/unit/glacier/test_utils.py
494a091,Daniel G. Taylor,2014-08-01 13:04:37,Merge pull request #2370 from danielrhammond/fix-cloudsearch-commit-response-keyerror,2370
ca9b3de,Piotr Bulinski,2014-08-01 19:28:41,add unittest testing bytes and string response in boto.utils.retry_url method (#2485),2485,tests/unit/utils/test_utils.py
9808a77,Daniel G. Taylor,2014-08-01 09:48:03,Merge pull request #2468 from felixonmars/hashlib-imports,2468
984c5ff,Daniel G. Taylor,2014-08-01 09:24:10,Merge pull request #2484 from piotrbulinski/develop,2483
205fb6c,Piotr Bulinski,2014-08-01 13:18:51,fix TypeError when getting instance metadata under python 3 (#2485),2485,boto/utils.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/auth.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/compat.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/connection.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/mws/connection.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/s3/key.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/sdb/db/manager/xmlmanager.py
abb6682,Piotr Bulinski,2014-08-01 12:41:23,use encodebytes instead of encodestring (#2483),2483,boto/utils.py
07d6424,Daniel G. Taylor,2014-07-31 13:18:14,Merge branch 'mreid-moz-fix_provider_encode' into develop.,2479
cf3c762,Felix Yan,2014-07-31 11:28:03,fix a minor typo in release notes,2476
60603b6,Daniel G. Taylor,2014-07-31 09:07:29,Merge pull request #2476 from felixonmars/master,2476
630666a,Felix Yan,2014-07-31 11:28:03,fix a minor typo in release notes,2476
e1b61a1,Daniel G. Taylor,2014-07-30 16:58:47,Merge pull request #2475 from DreadPirateShawn/issue2474,2475
f3eb4cd,Daniel G. Taylor,2014-07-30 14:19:36,Merge pull request #2466 from danielgtaylor/s3-integ-fix,2466
71b795a,Daniel G. Taylor,2014-07-30 14:19:17,Merge pull request #2465 from danielgtaylor/s3-loop,2465
f9f683a,Daniel G. Taylor,2014-07-30 14:16:12,Merge pull request #2471 from j0nes2k/patch-1,2471
eb26fdc,Daniel G. Taylor,2014-07-30 14:15:22,Merge pull request #2467 from ilam/patch-1,2464
102c3b6,Daniel G. Taylor,2014-07-30 14:06:14,Merge pull request #2473 from danielgtaylor/ddb-py3,2473
7f88166,Felix Yan,2014-07-30 18:42:25,remove obsolete md5 import routine,2468,boto/gs/resumable_upload_handler.py
7f88166,Felix Yan,2014-07-30 18:42:25,remove obsolete md5 import routine,2468,boto/s3/key.py
7f88166,Felix Yan,2014-07-30 18:42:25,remove obsolete md5 import routine,2468,boto/utils.py
7f88166,Felix Yan,2014-07-30 18:42:25,remove obsolete md5 import routine,2468,tests/integration/s3/mock_storage_service.py
35aa86d,Ilambharathi Kanniah,2014-07-29 18:49:13,"[DOC] Fixed #2464 added keyword ""detailed""",2464,boto/ec2/connection.py
a9e8057,Daniel G. Taylor,2014-07-29 14:45:06,Merge pull request #2457 from danielgtaylor/travis-retry,2457
798fd70,Daniel G. Taylor,2014-07-29 13:12:44,Merge pull request #2461 from ps-jay/run_instances_network_interfaces_doco,2461
e5a23ed,Daniel G. Taylor,2014-07-29 13:10:56,Merge pull request #2460 from felixonmars/pyami-tidy,2460
de284a4,Daniel G. Taylor,2014-07-28 14:33:18,Merge pull request #2455 from victortrac/develop,2455
49af8b6,Daniel G. Taylor,2014-07-28 14:15:19,Merge pull request #2433 from kevgliss/elb_marker,2433
fedb937,Daniel G. Taylor,2014-07-28 13:57:28,Merge pull request #2408 from kozmaz87/kozmaz87/cloudsearch2,2408
0ef0466,Daniel G. Taylor,2014-07-28 13:03:30,Merge pull request #2441 from felixonmars/dynamodb-py3,2441
f508700,Victor Trac,2014-07-28 13:23:05,updating documentation on cloudsearch regions,2455
4b8667c,Daniel G. Taylor,2014-07-25 14:14:29,Merge pull request #2440 from felixonmars/pypy,2440
cc58978,Daniel G. Taylor,2014-07-25 13:55:03,Merge pull request #2451 from methane/use-std-mock,2451
5949012,Daniel G. Taylor,2014-07-25 11:53:31,Merge pull request #2446 from DreadPirateShawn/issue2230,2446
55e716b,Daniel G. Taylor,2014-07-25 10:32:12,Merge pull request #2450 from felixonmars/import-fixes,2450
341df4d,Daniel G. Taylor,2014-07-25 10:28:35,Merge pull request #2449 from ubhisat/patch-1,2449
6a8f98b,Daniel G. Taylor,2014-07-25 10:28:07,Merge pull request #2314 from disruptek/mws_decorator_ordering,2304
23cbcd1,Daniel G. Taylor,2014-07-25 10:21:57,Merge pull request #2448 from felixonmars/logs-py3,2448
a16bcfd,Daniel G. Taylor,2014-07-25 09:06:45,Merge pull request #2445 from avanash/develop,2445
7693956,Daniel G. Taylor,2014-07-25 09:04:45,Merge pull request #2389 from dennisatplumbee/develop,2389
be9150e,Felix Yan,2014-07-25 17:24:32,import json from boto.compat for several modules,2450,boto/cloudtrail/layer1.py
be9150e,Felix Yan,2014-07-25 17:24:32,import json from boto.compat for several modules,2450,boto/kinesis/layer1.py
be9150e,Felix Yan,2014-07-25 17:24:32,import json from boto.compat for several modules,2450,boto/rds2/layer1.py
3157a38,Felix Yan,2014-07-25 10:53:17,logs module: enable unit tests in python 3,2448,boto/logs/layer1.py
3157a38,Felix Yan,2014-07-25 10:53:17,logs module: enable unit tests in python 3,2448,tests/test.py
3157a38,Felix Yan,2014-07-25 10:53:17,logs module: enable unit tests in python 3,2448,tests/unit/logs/test_layer1.py
f7b7980,Daniel G. Taylor,2014-07-24 16:56:01,Merge pull request #2419 from yowmamasita/patch-2,2419
fc2a212,Daniel G. Taylor,2014-07-24 16:55:23,Merge pull request #2418 from yowmamasita/patch-1,2418
effa8a8,Daniel G. Taylor,2014-07-24 16:53:40,Merge pull request #2447 from danielgtaylor/fix-typo,2447
d4a2b02,Daniel G. Taylor,2014-07-24 16:03:52,Merge pull request #2444 from danielgtaylor/logs-doc,2444
25416f9,Daniel G. Taylor,2014-07-23 16:30:33,Merge pull request #2439 from felixonmars/cloudsearch2-py3,2439
556f3cf,Daniel G. Taylor,2014-07-23 14:40:33,Merge pull request #2442 from danielgtaylor/test-compat,2442
63c78a8,Daniel G. Taylor,2014-07-23 14:10:15,Merge branch 'panovodv-develop' into develop.,2438
1c1239b,Daniel G. Taylor,2014-07-23 10:35:32,Merge pull request #2435 from felixonmars/sts-py3,2435
ddf573a,Felix Yan,2014-07-23 21:30:22,update .travis.yml to add pypy,2440
b17f2d9,Daniel G. Taylor,2014-07-22 16:46:00,Merge pull request #2432 from felixonmars/cloudsearch-py3,2432
723290d,Daniel G. Taylor,2014-07-22 15:57:25,Merge pull request #2434 from tly1980/develop,2434
604318d,Daniel G. Taylor,2014-07-22 15:56:05,Merge pull request #2403 from felixonmars/sdb-py3,2403
907fc6d,Daniel G. Taylor,2014-07-22 15:42:09,Merge pull request #2368 from KennF/fix_s3_sse_c,2368
d45d00e,Daniel G. Taylor,2014-07-21 16:30:54,Merge pull request #2372 from felixonmars/beanstalk-py3,2372
